iter	Passed	Remaining
0	68	6777
1	141	6943
2	213	6907
3	282	6790
4	353	6707
5	425	6669
6	497	6614
7	569	6549
8	639	6469
9	710	6395
10	779	6306
11	848	6223
12	918	6147
13	987	6067
14	1053	5972
15	1124	5906
16	1196	5843
17	1265	5766
18	1332	5682
19	1403	5615
20	1477	5557
21	1544	5477
22	1620	5425
23	1698	5377
24	1773	5319
25	1842	5245
26	1915	5178
27	1988	5112
28	2059	5042
29	2128	4966
30	2197	4890
31	2266	4817
32	2334	4739
33	2401	4660
34	2469	4585
35	2537	4511
36	2608	4440
37	2679	4371
38	2751	4303
39	2820	4231
40	2892	4161
41	2966	4096
42	3036	4024
43	3106	3953
44	3163	3867
45	3233	3795
46	3301	3723
47	3372	3653
48	3438	3578
49	3505	3505
50	3578	3437
51	3643	3363
52	3711	3291
53	3781	3220
54	3850	3150
55	3921	3081
56	3994	3013
57	4062	2941
58	4131	2871
59	4203	2802
60	4268	2729
61	4337	2658
62	4408	2588
63	4474	2516
64	4543	2446
65	4613	2376
66	4680	2305
67	4749	2234
68	4816	2164
69	4884	2093
70	4952	2022
71	5023	1953
72	5090	1882
73	5153	1810
74	5226	1742
75	5295	1672
76	5362	1601
77	5433	1532
78	5503	1462
79	5572	1393
80	5642	1323
81	5710	1253
82	5776	1183
83	5847	1113
84	5916	1044
85	5984	974
86	6056	905
87	6127	835
88	6196	765
89	6266	696
90	6335	626
91	6405	557
92	6474	487
93	6543	417
94	6611	347
95	6684	278
96	6752	208
97	6820	139
98	6890	69
99	6958	0
